"URL","Context","TableIndex","Rows","Columns","FirstRow"
"https://mgm.ibos.io/inventory/gateInOut/create","create:Create Get In Out / tab:GATE IN","0","2","4","SL | Item Name | UOM | Quantity"
"https://mgm.ibos.io/inventory/gateInOut/create","create:Create Get In Out / tab:GATE OUT","0","2","4","SL | Item Name | UOM | Quantity"
"https://mgm.ibos.io/inventory/gateInOut/create","create:Create Get In Out / tab:VISITOR","0","2","4","SL | Item Name | UOM | Quantity"
"https://mgm.ibos.io/inventory/qcManagement/create","create:Create","0","1","9","SL | Item Code | Item Name | UOM | Quantity | QC Quantity | Pass Qty | Fail Qty | Remarks"
"https://mgm.ibos.io/postcrm/serviceAgreement/create","create:CREATE SERVICE AGREEMENT","0","1","12","SL | Item Code | Item Name | Number Of Service | Occurrence | Occurrence Days | Price | Start Date | Valid To | Duration | Remarks | Action"
"https://mgm.ibos.io/postcrm/serviceAgreement/create","create:CREATE SERVICE AGREEMENT / tab:SERVICE AGREEMENT","0","1","12","SL | Item Code | Item Name | Number Of Service | Occurrence | Occurrence Days | Price | Start Date | Valid To | Duration | Remarks | Action"
"https://mgm.ibos.io/postcrm/serviceAgreement/create","create:CREATE SERVICE AGREEMENT / tab:SERVICE DUE","0","1","12","SL | Item Code | Item Name | Number Of Service | Occurrence | Occurrence Days | Price | Start Date | Valid To | Duration | Remarks | Action"
"https://mgm.ibos.io/postcrm/warrantyManagement/create","create:Create","0","1","10","SL | Item Code | Item Name | Serial | Part No | Model No | Origin | Specification | Description | Action"
"https://mgm.ibos.io/purchase/purchaseOrder/indenting/create","create:Create Indenting Order / tab:INDENTING PO","0","6","9","SL | Item Code | Name | Order Qty | Supplier Rate () | Customer Rate () | Supplier Total () | Customer Total () | Actions"
"https://mgm.ibos.io/purchase/quotationEntry/create","create:Create Quotation Entry","0","1","10","SL | Item Code | Item Name | Item Description | Qty | Rate (BDT) | Discount | Vat | Total | Action"
"https://mgm.ibos.io/sales/fieldCollection/create","create:Create Collection","0","1","12","SL | Customer Code | Customer Name | Shipping Address | Money Receipt No | Collection Type | Deposit Acc No | Bank Name | Instrument No | Instrument Date | Amount | Action"
"https://mgm.ibos.io/sales/fieldCollection/create","create:Create Collection / tab:FIELD COLLECTION","0","1","12","SL | Customer Code | Customer Name | Shipping Address | Money Receipt No | Collection Type | Deposit Acc No | Bank Name | Instrument No | Instrument Date | Amount | Action"
"https://mgm.ibos.io/sales/goodsSales","create:Create Reason / tab:APPROVED SO","0","1","17","SL | Action | Status | SO Date | Exp. Delivery Date | SO No | Office Name | Customer Code | Customer Name | Shipping Address | Zone | Route | Section | Customer PO/Ref | Order By | Type | Pending Reason"
"https://mgm.ibos.io/sales/SalesCollection/newBillCreate","create:Create Bill","0","1","10"," | Invoice No | Challan (Manual) | Total Amount | Receive Amount/Adjust | Due Amount | GRN Number | Delivery Date |  | Submission Date"
"https://mgm.ibos.io/sales/SalesCollection/newBillCreate","create:Create Bill / tab:ADVANCE COLLECTION","0","1","10"," | Invoice No | Challan (Manual) | Total Amount | Receive Amount/Adjust | Due Amount | GRN Number | Delivery Date |  | Submission Date"
"https://mgm.ibos.io/sales/SalesCollection/newBillCreate","create:Create Bill / tab:COLLECTED INVOICE","0","1","10"," | Invoice No | Challan (Manual) | Total Amount | Receive Amount/Adjust | Due Amount | GRN Number | Delivery Date |  | Submission Date"
"https://mgm.ibos.io/sales/SalesCollection/newBillCreate","create:Create Bill / tab:DUE BILL","0","1","10"," | Invoice No | Challan (Manual) | Total Amount | Receive Amount/Adjust | Due Amount | GRN Number | Delivery Date |  | Submission Date"
"https://mgm.ibos.io/sales/SalesCollection/newBillCreate","create:Create Bill / tab:DUE INVOICE REPORT","0","1","10"," | Invoice No | Challan (Manual) | Total Amount | Receive Amount/Adjust | Due Amount | GRN Number | Delivery Date |  | Submission Date"
"https://mgm.ibos.io/sales/SalesCollection/newBillCreate","create:Create Bill / tab:DUE LIST","0","1","10"," | Invoice No | Challan (Manual) | Total Amount | Receive Amount/Adjust | Due Amount | GRN Number | Delivery Date |  | Submission Date"
"https://mgm.ibos.io/sales/salesQuotation/create","create:Create Quotation","0","1","10","Code | Name | Quantity | Unit Price | Discount | VAT (%) | Total Amount | Warranty | Delivery Date | Action"
